Geo,Type,Jahr,Anzahl
Österreich,Hauseigentum,1971,859000
Österreich,Wohnungseigentum,1971,110000
Österreich,Gemeinde Miete,1971,249100
Österreich,GBV Miete,1971,201000
Österreich,Private Miete,1971,642100
Österreich,Sonstige,1971,264300
Wien,Hauseigentum,1971,39400
Wien,Wohnungseigentum,1971,50000
Wien,Gemeinde Miete,1971,158800
Wien,GBV Miete,1971,45000
Wien,Private Miete,1971,345100
Wien,Sonstige,1971,46900
Österreich,Hauseigentum,1981,1011000
Österreich,Wohnungseigentum,1981,219200
Österreich,Gemeinde Miete,1981,273100
Österreich,GBV Miete,1981,239200
Österreich,Private Miete,1981,574000
Österreich,Sonstige,1981,239800
Wien,Hauseigentum,1981,38800
Wien,Wohnungseigentum,1981,76400
Wien,Gemeinde Miete,1981,182800
Wien,GBV Miete,1981,59500
Wien,Private Miete,1981,276500
Wien,Sonstige,1981,48400
Österreich,Hauseigentum,1991,1107800
Österreich,Wohnungseigentum,1991,288000
Österreich,Gemeinde Miete,1991,296800
Österreich,GBV Miete,1991,305300
Österreich,Private Miete,1991,454500
Österreich,Sonstige,1991,291100
Wien,Hauseigentum,1991,40400
Wien,Wohnungseigentum,1991,80200
Wien,Gemeinde Miete,1991,200100
Wien,GBV Miete,1991,80300
Wien,Private Miete,1991,218100
Wien,Sonstige,1991,56000
Österreich,Hauseigentum,2001,1242900
Österreich,Wohnungseigentum,2001,355000
Österreich,Gemeinde Miete,2001,316800
Österreich,GBV Miete,2001,373900
Österreich,Private Miete,2001,631600
Österreich,Sonstige,2001,340300
Wien,Hauseigentum,2001,44200
Wien,Wohnungseigentum,2001,89600
Wien,Gemeinde Miete,2001,219300
Wien,GBV Miete,2001,111900
Wien,Private Miete,2001,254600
Wien,Sonstige,2001,48600
Österreich,Hauseigentum,2011,1411200
Österreich,Wohnungseigentum,2011,437200
Österreich,Gemeinde Miete,2011,312100
Österreich,GBV Miete,2011,479000
Österreich,Private Miete,2011,629900
Österreich,Sonstige,2011,281800
Wien,Hauseigentum,2011,54500
Wien,Wohnungseigentum,2011,102800
Wien,Gemeinde Miete,2011,219000
Wien,GBV Miete,2011,134000
Wien,Private Miete,2011,272900
Wien,Sonstige,2011,42100
Österreich,Hauseigentum,2020,1491100
Österreich,Wohnungseigentum,2020,455600
Österreich,Gemeinde Miete,2020,276800
Österreich,GBV Miete,2020,667300
Österreich,Private Miete,2020,732600
Österreich,Sonstige,2020,365100
Wien,Hauseigentum,2020,58000
Wien,Wohnungseigentum,2020,129200
Wien,Gemeinde Miete,2020,201300
Wien,GBV Miete,2020,196800
Wien,Private Miete,2020,297400
Wien,Sonstige,2020,35500
